,train,valid
derived_0,0.004393962278806583,4.8268034593744914e-05
derived_1,0.0058776447150205744,0.0005576933946544238
derived_2,0.003070326213991768,9.807985534866254e-05
derived_3,0.004007270889917695,0.00029975147624485595
derived_4,0.0024277657407407406,0.00017429285661728393
fundamental_0,0.005265879374485596,-0.0003693708635708498
fundamental_1,0.002265968902116402,0.0002357414168224574
fundamental_10,0.006665095240740736,0.0005771922955984714
fundamental_11,0.0027309801028806585,0.00013746586974897128
fundamental_12,0.0021804223559670783,-1.703069810699584e-05
fundamental_13,0.004120721100823045,0.0005166812240329218
fundamental_14,0.0072310908796296295,0.0013143214874794238
fundamental_15,0.0077478714660493804,0.0013711131786635312
fundamental_16,0.004387149377572016,0.0005739187195689299
fundamental_17,0.007116045286596118,0.001376097022972296
fundamental_18,0.005768895837448561,0.0010581518756557404
fundamental_19,0.0035642133076131685,5.6085206851851886e-05
fundamental_2,0.0038242671707818927,2.4382436910596692e-05
fundamental_20,0.005398742942386832,0.000360885086563786
fundamental_21,0.006197945759259259,0.0007219684136047324
fundamental_22,0.0033686236213991763,-8.912569054115212e-05
fundamental_23,0.0036227128189300394,0.0003148374497818932
fundamental_24,0.001475928765432099,0.0002600364792283951
fundamental_25,0.003238320195473251,0.00017791277976337446
fundamental_26,0.0021397996296296296,0.00013279177983919755
fundamental_27,0.003878324125514403,0.0002307049317551441
fundamental_28,0.0014318649074074078,0.00017387167685185183
fundamental_29,0.005009988904320987,0.0001469810652427984
fundamental_3,0.0022024135185185188,0.000480987078590535
fundamental_30,0.0030464518353909465,0.00022537487675411514
fundamental_31,0.002974089115226337,-6.118253933209852e-05
fundamental_32,0.003648401296296296,0.00035770510421399176
fundamental_33,0.004723916347736625,-1.3443724223251038e-05
fundamental_34,0.0023719711728395054,2.4120155074074065e-05
fundamental_35,0.004161724506172841,0.0005639426538333333
fundamental_36,0.0034877961831275717,0.00042830481221193417
fundamental_37,0.002928111208847736,1.9939040462860113e-05
fundamental_38,0.0013389039917695474,0.00010963818479588475
