,train,valid
derived_0,0.004255817314814815,0.0003563961059979424
derived_1,0.0056290916241916525,0.0005353595261567901
derived_2,0.0027563265329218095,2.3332879829423875e-05
derived_3,0.003917951255144032,0.00017841101653254113
derived_4,0.003038564877572016,0.00017015647293981484
fundamental_0,0.00477409475308642,7.820311623652271e-05
fundamental_1,0.002069020183127572,0.0003052135031423868
fundamental_10,0.005675002577307466,0.000597926066219834
fundamental_11,0.0037651161388888893,0.0003387716500082304
fundamental_12,0.002801136239711934,-2.464240930041147e-06
fundamental_13,0.0038209072181069957,0.0009891774162757198
fundamental_14,0.007981029531893004,0.001772482456222994
fundamental_15,0.008009135121546149,0.0016545243384273466
fundamental_16,0.0046570740432098755,0.000152218704918313
fundamental_17,0.006653521594650205,0.001414042719855659
fundamental_18,0.006374728883744857,0.000875580550717078
fundamental_19,0.003784793262345679,-2.1235704160802434e-05
fundamental_2,0.004334787561728395,0.0007691344101152264
fundamental_20,0.005472405488683128,0.0004829260771913579
fundamental_21,0.005472067166666667,0.0005765066767108027
fundamental_22,0.0035237056347736623,0.0003643484740236625
fundamental_23,0.004864888775720165,0.0008625235119104937
fundamental_24,0.0013449425905349797,0.00013723586679012344
fundamental_25,0.0031587277818930035,0.0003291300252057614
fundamental_26,0.002320692057613168,0.00015287467043209873
fundamental_27,0.0026544722273662545,0.0003701302648569959
fundamental_28,0.0018811991049382725,-8.843421425925926e-05
fundamental_29,0.005432586450617284,0.00010571089251450619
fundamental_3,0.0023910379115226334,0.000550185602037037
fundamental_30,0.003625821867283951,0.00032477620713240734
fundamental_31,0.0027988649588477363,-8.937791743827161e-05
fundamental_32,0.003850726358024692,7.936215672427981e-05
fundamental_33,0.0038497994855967083,2.9627127100000042e-05
fundamental_34,0.002124439526748971,-0.00027672993326061725
fundamental_35,0.0035665783024691356,0.00024317044075683128
fundamental_36,0.004055186732510287,0.0004971748601306584
fundamental_37,0.00241461787037037,0.00025100433333333336
fundamental_38,0.0016530334259259262,0.0001265384527160494
fundamental_39,0.0054970237613168734,0.0014928888087085389
fundamental_40,0.0022687724835390947,0.00011410334040277774
fundamental_41,0.005808513402557318,0.0011444904187683717
fundamental_42,0.011427544869194589,0.00122626354440194
fundamental_43,0.008198560349794241,0.0009989468483806586
fundamental_44,0.00549133893004115,0.00024420794912901234
fundamental_45,0.004740541502057614,0.00157211530645679
fundamental_46,0.005382397337448558,0.0006754171231172552
fundamental_47,0.003714062633744856,0.000327245170795823
fundamental_48,0.0034750793209876543,0.00026852504309012346
fundamental_49,0.003314159875514403,0.0001685864291494856
fundamental_5,0.005528329259259258,0.0012001339422152263
fundamental_50,0.004665007257201646,0.00038375639706275715
fundamental_51,0.004170152273662552,0.0003440321298148148
fundamental_52,0.0023814186728395065,0.00022335975220781894
fundamental_53,0.011745275302469143,0.001880700057934569
fundamental_54,0.0038697997633744853,0.0005738192797530864
fundamental_55,0.002096932131687243,0.0001800561707170782
fundamental_56,0.005738746948559671,0.0017839267401923867
fundamental_57,0.002322824701058201,0.0005587947162911524
fundamental_58,0.0034121752757201636,0.000729938831218107
fundamental_59,0.003297005375514403,0.000629306978937243
