,train,valid
derived_0,0.004246842649176953,0.0004189752039917695
derived_1,0.005196464295267491,0.000892687201417284
derived_2,0.0038306892901234556,0.00030120080768209867
derived_3,0.003946702047325105,5.4370724020576155e-05
derived_4,0.00326621406378601,0.00022696123323347734
fundamental_0,0.00586780643621399,-0.0004272466437695475
fundamental_1,0.0009059966255144032,8.091273851028807e-05
fundamental_10,0.005362990508744855,0.000984033312361435
fundamental_11,0.003254151820987653,0.00019017445556399176
fundamental_12,0.0026913450041152268,8.519779206378597e-05
fundamental_13,0.0042468026491769536,0.0008943321425660492
fundamental_14,0.007418927296443268,0.0007664780530069666
fundamental_15,0.008261751474867726,0.0015422331360953722
fundamental_16,0.004413650380658438,0.0003335994225987655
fundamental_17,0.006549362330246913,0.0009544473829722221
fundamental_18,0.0060123667109053475,0.000995523736456193
fundamental_19,0.0035293756687242803,-9.973417131687258e-06
fundamental_2,0.002645375468106996,0.00018852198802469134
fundamental_20,0.0056757787695473245,0.0007002189228353909
fundamental_21,0.005954141987654321,0.000638253755798662
fundamental_22,0.00285183212037037,6.495911851851836e-06
fundamental_23,0.0036956332716049393,0.00046681474749074066
fundamental_24,0.001169011783950617,5.470606862962963e-05
fundamental_25,0.002105686646090535,0.0002739480764102881
fundamental_26,0.0019071549104938276,0.0006004376959382715
fundamental_27,0.002973888055555556,0.00026213344028436214
fundamental_28,0.0017655828395061728,-1.371008771604937e-05
fundamental_29,0.004892367388888888,0.0002806166701112757
fundamental_3,0.003502701466049383,0.00013978063779711926
fundamental_30,0.003929556913580248,0.000399512361670782
fundamental_31,0.002626340900205761,0.0006142448078148148
fundamental_32,0.0038540272530864193,0.0003363371468911522
fundamental_33,0.0035670236522633756,0.00016099099419012344
fundamental_34,0.002656494782921811,0.00019335923061378598
fundamental_35,0.0030331050000000003,0.0002231786322633744
fundamental_36,0.0034625796810699603,0.0006108161018621397
fundamental_37,0.0027156128086419746,0.00040290305459835386
fundamental_38,0.0017030461419753086,0.00013818870930349796
fundamental_39,0.006267946591563789,0.0016675833440314613
fundamental_40,0.001960890514403292,0.00010271847597119344
fundamental_41,0.006398360609053498,0.0014865903060312245
fundamental_42,0.011488711026895944,0.0017814877889824221
fundamental_43,0.005471336594650206,0.0005860016592592591
fundamental_44,0.006623370057613168,0.00042611344258024696
fundamental_45,0.005535923168724279,0.001321076854664609
fundamental_46,0.00608232774691358,0.0012606976510637859
fundamental_47,0.0021302372582304523,0.00013895344749248974
fundamental_48,0.003027090802469136,0.00017451478390858026
fundamental_49,0.0033797286244855985,-0.00013319134715226346
fundamental_5,0.0048929447181069955,0.0012166900291858032
fundamental_50,0.0056835469701646095,0.000932854958631687
fundamental_51,0.00402222077160494,0.00043732151257098756
fundamental_52,0.0021439239197530865,7.915268805555532e-06
fundamental_53,0.011925470318832055,0.0026420638262489634
fundamental_54,0.0032324661162551438,0.0001471529647167696
fundamental_55,0.0030922402520576135,0.00019961238467222208
fundamental_56,0.005912561702674897,0.001921336008643004
